"state","zone","cwa","name","state_zone","time_zone","fe_area","latitude","longitude"
"AK","208","AFG","Lower Kobuk and Noatak Valleys","AK208","A","",67.8185718093,-162.213999032
"AK","209","AFG","Baldwin Peninsula and Selawik Valley","AK209","A","",66.6468276626,-160.865642242
"AK","210","AFG","Northern and Interior Seward Peninsula","AK210","A","",65.4915549713,-162.576288425
"AK","211","AFG","Southern Seward Peninsula Coast","AK211","A","",64.614594081,-164.492442722
"AK","212","AFG","Eastern Norton Sound and Nulato Hills","AK212","A","",63.9318890098,-161.057205661
"AK","213","AFG","St Lawrence Island and Bering Strait Coast","AK213","A","",64.5057074971,-168.310180318
"AK","214","AFG","Yukon Delta","AK214","A","",62.140538558,-163.814515031
"AK","215","AFG","Lower Yukon Valley","AK215","A","",62.7138668877,-159.594222436
"AK","216","AFG","Lower Koyukuk and Middle Yukon Valleys","AK216","A","",64.7408170926,-156.605008402
"AK","217","AFG","Upper Kobuk and Noatak Valleys","AK217","A","",67.3544973541,-157.283235618
"AK","218","AFG","Southeastern Brooks Range","AK218","A","",67.8926105603,-146.893402647
"AK","219","AFG","Upper Koyukuk Valley","AK219","A","",66.3787827568,-152.517776886
"AK","220","AFG","Yukon Flats and Surrounding Uplands","AK220","A","",66.4063489586,-145.575327374
"AK","221","AFG","Central Interior","AK221","A","",64.7064718371,-151.486575761
"AK","222","AFG","Middle Tanana Valley","AK222","A","",64.993409056,-147.348046284
"AK","223","AFG","Deltana and Tanana Flats","AK223","A","",64.2154817928,-146.615307846
"AK","224","AFG","Upper Tanana Valley and the Fortymile Country","AK224","A","",64.4089764653,-142.878028655
"AK","225","AFG","Denali","AK225","A","",63.5852494819,-150.098847677
"AK","226","AFG","Eastern Alaska Range","AK226","A","",63.0804694084,-144.468100884
"AK","227","AFG","Upper Kuskokwim Valley","AK227","A","",62.9841797076,-154.253163663
"AL","001","HUN","Lauderdale","AL001","C","nw",34.9015385355,-87.6543614767
"AL","002","HUN","Colbert","AL002","C","nw",34.7004503629,-87.8048943623
"AL","003","HUN","Franklin","AL003","C","nw",34.4416819007,-87.8437896838
"AL","004","HUN","Lawrence","AL004","C","nw",34.5219985293,-87.3110315357
"AL","005","HUN","Limestone","AL005","C","nc",34.8101069002,-86.9813220297
"AL","006","HUN","Madison","AL006","C","nc",34.7631173743,-86.5502046891
"AL","007","HUN","Morgan","AL007","C","nc",34.4534820066,-86.8529099545
"AL","008","HUN","Marshall","AL008","C","ne",34.3669441906,-86.3066359649
"AL","009","HUN","Jackson","AL009","C","ne",34.7794345099,-85.9992962989
"AL","010","HUN","De Kalb","AL010","C","ne",34.4597774006,-85.8041476265
"AL","011","BMX","Marion","AL011","C","nw",34.1365665217,-87.8871445503
"AL","012","BMX","Lamar","AL012","C","wc",33.7792132155,-88.0968931889
"AL","013","BMX","Fayette","AL013","C","wc",33.7212110544,-87.7388646477
"AL","014","BMX","Winston","AL014","C","nw",34.1492357012,-87.3736774133
"AL","015","BMX","Walker","AL015","C","c",33.8033694945,-87.2973256612
"AL","016","HUN","Cullman","AL016","C","nc",34.1319768601,-86.8676175666
"AL","017","BMX","Blount","AL017","C","c",33.9808842489,-86.5673773426
"AL","018","BMX","Etowah","AL018","C","ne",34.0452713291,-86.0347877252
"AL","019","BMX","Calhoun","AL019","C","ec",33.7714312818,-85.8260586384
"AL","020","BMX","Cherokee","AL020","C","ne",34.1759643015,-85.6037849531
"AL","021","BMX","Cleburne","AL021","C","ec",33.6745345473,-85.5187982489
"AL","022","BMX","Pickens","AL022","C","wc",33.2809054578,-88.0886698821
"AL","023","BMX","Tuscaloosa","AL023","C","wc",33.2895489347,-87.5250458068
"AL","024","BMX","Jefferson","AL024","C","c",33.5542980023,-86.8965101475
"AL","025","BMX","Shelby","AL025","C","c",33.2642753467,-86.6606522204
"AL","026","BMX","St. Clair","AL026","C","c",33.7157023765,-86.3147012671
"AL","027","BMX","Talladega","AL027","C","ec",33.3800283574,-86.1659140268
"AL","028","BMX","Clay","AL028","C","ec",33.2690789698,-85.8605331133
"AL","029","BMX","Randolph","AL029","C","ec",33.2937773084,-85.4590620916
"AL","030","BMX","Sumter","AL030","C","wc",32.5910289927,-88.1987981694
"AL","031","BMX","Greene","AL031","C","wc",32.8531128123,-87.9522288935
"AL","032","BMX","Hale","AL032","C","wc",32.7626895445,-87.6291108936
"AL","033","BMX","Perry","AL033","C","c",32.6385163388,-87.2942119407
"AL","034","BMX","Bibb","AL034","C","c",32.9986388634,-87.1264308085
"AL","035","BMX","Chilton","AL035","C","c",32.8478605864,-86.7188352519
"AL","036","BMX","Coosa","AL036","C","ec",32.9362320562,-86.2476383344
"AL","037","BMX","Tallapoosa","AL037","C","ec",32.8624319969,-85.797507276
"AL","038","BMX","Chambers","AL038","C","ec",32.9143649038,-85.3920429556
"AL","039","BMX","Marengo","AL039","C","sw",32.2476386467,-87.7894889478
"AL","040","BMX","Dallas","AL040","C","sc",32.3258295012,-87.1064982788
"AL","041","BMX","Autauga","AL041","C","c",32.5349416679,-86.6427681791
"AL","042","BMX","Lowndes","AL042","C","sc",32.1547485322,-86.6500995042
"AL","043","BMX","Elmore","AL043","C","ec",32.5966106435,-86.1491917898
"AL","044","BMX","Montgomery","AL044","C","sc",32.2201841718,-86.2076150705
"AL","045","BMX","Macon","AL045","C","se",32.3860229779,-85.6926066154
"AL","046","BMX","Bullock","AL046","C","se",32.1004870319,-85.7160892256
"AL","047","BMX","Lee","AL047","C","ec",32.6011834977,-85.3556115959
"AL","048","BMX","Russell","AL048","C","se",32.2884296027,-85.1848959698
"AL","049","BMX","Pike","AL049","C","se",31.8023901527,-85.9408738355
"AL","050","BMX","Barbour","AL050","C","se",31.869591086,-85.393233463
"AL","051","MOB","Choctaw","AL051","C","sw",32.0192408281,-88.2628359673
"AL","052","MOB","Washington","AL052","C","sw",31.4076647625,-88.2071266529
"AL","053","MOB","Clarke","AL053","C","sw",31.6708787189,-87.8309335708
"AL","054","MOB","Wilcox","AL054","C","sc",31.9892422433,-87.3081940764
"AL","055","MOB","Monroe","AL055","C","sc",31.570611602,-87.3658145579
"AL","056","MOB","Conecuh","AL056","C","sc",31.4292971636,-86.9936242347
"AL","057","MOB","Butler","AL057","C","sc",31.7524346765,-86.6802828494
"AL","058","MOB","Crenshaw","AL058","C","sc",31.7315154043,-86.3135537092
"AL","059","MOB","Escambia","AL059","C","sc",31.1261647408,-87.1615643529
"AL","060","MOB","Covington","AL060","C","sc",31.2484833463,-86.4512131774
"AL","065","TAE","Coffee","AL065","C","se",31.4026448434,-85.9881918794
"AL","066","TAE","Dale","AL066","C","se",31.4318335628,-85.611008823
"AL","067","TAE","Henry","AL067","C","se",31.5146793668,-85.2414007403
"AL","068","TAE","Geneva","AL068","C","se",31.0950187914,-85.8389710381
"AL","069","TAE","Houston","AL069","C","se",31.1531923893,-85.3025303619
"AL","261","MOB","Mobile Inland","AL261","C","sw",30.9236774846,-88.1850024841
"AL","262","MOB","Baldwin Inland","AL262","C","sw",30.9470828543,-87.7614638527
"AL","263","MOB","Mobile Central","AL263","C","sw",30.5283694359,-88.236278922
"AL","264","MOB","Baldwin Central","AL264","C","sw",30.4940507382,-87.6698653478
"AL","265","MOB","Mobile Coastal","AL265","C","sw",30.5283694359,-88.236278922
"AL","266","MOB","Baldwin Coastal","AL266","C","sw",30.4940507382,-87.6698653478
"AR","001","TSA","Benton","AR001","C","nw",36.339186156,-94.2573111819
"AR","002","TSA","Carroll","AR002","C","nw",36.3410382794,-93.5381743838
"AR","003","LZK","Boone","AR003","C","nc",36.308590259,-93.0914817229
"AR","004","LZK","Marion","AR004","C","nc",36.2683582675,-92.6842277338
"AR","005","LZK","Baxter","AR005","C","nc",36.2872129139,-92.3369693983
"AR","006","LZK","Fulton","AR006","C","nc",36.3816739699,-91.8182591084
"AR","007","LZK","Sharp","AR007","C","nc",36.1611312192,-91.4798840421
"AR","008","MEG","Randolph","AR008","C","ee",36.341501603,-91.0277784173
"AR","009","MEG","Clay","AR009","C","ee",36.3684533384,-90.4173011111
"AR","010","TSA","Washington","AR010","C","nw",35.9800025064,-94.2146761405
"AR","011","TSA","Madison","AR011","C","nw",36.010957893,-93.7245595509
"AR","012","LZK","Newton","AR012","C","nc",35.919980495,-93.2178586645
"AR","013","LZK","Searcy","AR013","C","nc",35.9109121929,-92.6994894594
"AR","014","LZK","Stone","AR014","C","nc",35.8598916146,-92.1566759981
"AR","015","LZK","Izard","AR015","C","nc",36.0948854525,-91.9133918695
"AR","016","LZK","Independence","AR016","C","nc",35.7415434278,-91.569817924
"AR","017","MEG","Lawrence","AR017","C","ee",36.0412529097,-91.1070748735
"AR","018","MEG","Greene","AR018","C","ee",36.1176925411,-90.5591152645
"AR","019","TSA","Crawford","AR019","C","nw",35.5888502301,-94.2429844928
"AR","020","TSA","Franklin","AR020","C","wc",35.5123113962,-93.8906224006
"AR","021","LZK","Johnson","AR021","C","ww",35.5700596077,-93.4599231714
"AR","022","LZK","Pope","AR022","C","cc",35.4476416237,-93.0341512661
"AR","023","LZK","Van Buren","AR023","C","nc",35.5806598134,-92.5156940632
"AR","024","LZK","Cleburne","AR024","C","nc",35.5381121012,-92.0267473824
"AR","025","LZK","Jackson","AR025","C","ee",35.5993570878,-91.2145538337
"AR","026","MEG","Craighead","AR026","C","ee",35.8307855548,-90.6327732632
"AR","027","MEG","Poinsett","AR027","C","ee",35.5740379238,-90.6628660177
"AR","028","MEG","Mississippi","AR028","C","ee",35.7639345656,-90.0540027498
"AR","029","TSA","Sebastian","AR029","C","wc",35.1993242621,-94.2740253556
"AR","030","LZK","Logan","AR030","C","ww",35.2152621594,-93.7163225452
"AR","031","LZK","Conway","AR031","C","cc",35.2622033717,-92.7013527326
"AR","032","LZK","Faulkner","AR032","C","cc",35.1469599421,-92.3320512939
"AR","033","LZK","White","AR033","C","cc",35.2562733398,-91.7456576666
"AR","034","LZK","Woodruff","AR034","C","ee",35.1863050417,-91.2431467083
"AR","035","MEG","Cross","AR035","C","ee",35.2957511479,-90.7712558204
"AR","036","MEG","Crittenden","AR036","C","ee",35.2079071006,-90.3088800427
"AR","037","LZK","Scott","AR037","C","ww",34.8607719112,-94.063268309
"AR","038","LZK","Yell","AR038","C","cc",35.0026092513,-93.4112623609
"AR","039","LZK","Perry","AR039","C","cc",34.9473820776,-92.9314889678
"AR","040","LZK","Polk","AR040","C","ww",34.4858473184,-94.2280604311
"AR","041","LZK","Montgomery","AR041","C","ww",34.5388011121,-93.6595386996
"AR","042","LZK","Garland","AR042","C","cc",34.5766941087,-93.150445899
"AR","043","LZK","Saline","AR043","C","cc",34.6466178953,-92.6765702477
"AR","044","LZK","Pulaski","AR044","C","cc",34.7699183101,-92.3117572845
"AR","045","LZK","Lonoke","AR045","C","cc",34.7542357886,-91.888650623
"AR","046","LZK","Prairie","AR046","C","cc",34.8297174903,-91.5527542078
"AR","047","LZK","Monroe","AR047","C","ee",34.6778313889,-91.2038237523
"AR","048","MEG","St. Francis","AR048","C","ee",35.0220203272,-90.7477607348
"AR","049","MEG","Lee","AR049","C","ee",34.7806483855,-90.7820486708
"AR","050","SHV","Sevier","AR050","C","sw",33.9972602291,-94.241214422
"AR","051","SHV","Howard","AR051","C","sw",34.0887218729,-93.993450074
"AR","052","LZK","Pike","AR052","C","sw",34.1636110338,-93.656388741
"AR","053","LZK","Clark","AR053","C","sw",34.0510214984,-93.176375881
"AR","054","LZK","Hot Spring","AR054","C","sw",34.3176507922,-92.9460113446
"AR","055","LZK","Grant","AR055","C","cc",34.2900227637,-92.423569
"AR","056","LZK","Jefferson","AR056","C","se",34.2687994586,-91.9315161
"AR","057","LZK","Arkansas","AR057","C","se",34.2908082929,-91.3748885277
"AR","058","MEG","Phillips","AR058","C","ee",34.4282713515,-90.8479995871
"AR","059","SHV","Little River","AR059","C","sw",33.7005250699,-94.2342542266
"AR","060","SHV","Hempstead","AR060","C","sw",33.7353602923,-93.6683978122
"AR","061","SHV","Nevada","AR061","C","sw",33.6640518952,-93.3071651115
"AR","062","LZK","Dallas","AR062","C","sw",33.9698143274,-92.6545017026
"AR","063","LZK","Cleveland","AR063","C","se",33.8983519273,-92.1851985139
"AR","064","LZK","Lincoln","AR064","C","se",33.957453434,-91.7333286312
"AR","065","LZK","Desha","AR065","C","se",33.8333296427,-91.2539548125
"AR","066","LZK","Ouachita","AR066","C","sw",33.5933461687,-92.8820285074
"AR","067","LZK","Calhoun","AR067","C","sw",33.558039161,-92.5031442631
"AR","068","LZK","Bradley","AR068","C","se",33.4658562366,-92.1622480103
"AR","069","LZK","Drew","AR069","C","se",33.5894543428,-91.720020725
"AR","070","SHV","Miller","AR070","C","sw",33.3123893381,-93.8917821083
"AR","071","SHV","Lafayette","AR071","C","sw",33.2407540357,-93.6073257368
"AR","072","SHV","Columbia","AR072","C","sw",33.214299057,-93.2273487989
"AR","073","SHV","Union","AR073","C","sc",33.1713240983,-92.5972662225
"AR","074","JAN","Ashley","AR074","C","se",33.1911925298,-91.7679097977
"AR","075","JAN","Chicot","AR075","C","se",33.2672076999,-91.2939809574
"AS","001","PPG","Tutuila and Aunuu","AS001","S","",-14.2994876362,-170.712763528
"AS","002","PPG","Manua","AS002","S","",-14.2219188558,-169.505974367
"AS","003","PPG","Swains Island","AS003","S","",-11.0843135727,-171.045906854
"AZ","001","VEF","Northwest Plateau","AZ001","m","nw",36.5921357131,-113.331656089
"AZ","002","VEF","Lake Havasu and Fort Mohave","AZ002","m","nw",34.6761534826,-114.349229673
"AZ","003","VEF","Northwest Deserts","AZ003","m","nw",35.1838588514,-113.84796807
"AZ","004","FGZ","Kaibab Plateau","AZ004","m","nc",36.6513665228,-112.201769553
"AZ","005","FGZ","Marble and Glen Canyons","AZ005","m","nc",36.7776963752,-111.668128002
"AZ","006","FGZ","Grand Canyon Country","AZ006","m","nc",36.1840096296,-112.318362579
"AZ","007","FGZ","Coconino Plateau","AZ007","m","nc",35.7340964706,-112.556878444
"AZ","008","FGZ","Yavapai County  Mountains","AZ008","m","wc",34.8361073399,-112.655396115
"AZ","009","FGZ","Northeast Plateaus and Mesas Hwy 264 Northward","AZ009","m","nc",36.4046187877,-110.971126139
"AZ","010","FGZ","Chinle Valley","AZ010","m","ne",36.5404063869,-109.706806253
"AZ","011","FGZ","Chuska Mountains and Defiance Plateau","AZ011","m","ne",35.869336052,-109.234365249
"AZ","012","FGZ","Little Colorado River Valley in Coconino County","AZ012","m","nc",35.4788382171,-111.187614603
"AZ","013","FGZ","Little Colorado River Valley in Navajo County","AZ013","m","ne",34.84400843,-110.312777541
"AZ","014","FGZ","Little Colorado River Valley in Apache County","AZ014","m","ne",34.576815678,-109.419760885
"AZ","015","FGZ","Western Mogollon Rim","AZ015","m","nc",35.2296166531,-111.768931112
"AZ","016","FGZ","Eastern Mogollon Rim","AZ016","m","nc",34.4417800546,-110.812232698
"AZ","017","FGZ","White Mountains","AZ017","m","ne",33.9271728435,-109.648346
"AZ","018","FGZ","Northern Gila County","AZ018","m","ec",34.0400947591,-110.922490442
"AZ","020","PSR","Lower Colorado River Valley AZ","AZ020","m","wc",33.612809848,-114.470110312
"AZ","021","PSR","West Central Deserts","AZ021","m","wc",33.8116452772,-113.813169213
"AZ","022","PSR","Northwest Maricopa County","AZ022","m","sc",33.6969728789,-112.864004293
"AZ","023","PSR","Greater Phoenix Area","AZ023","m","sc",33.5173352475,-112.100228338
"AZ","024","PSR","Southern Gila/Tonto NF Foothills","AZ024","m","ec",33.5758950611,-110.989830391
"AZ","025","PSR","Yuma/Martinez Lake and Vicinity","AZ025","m","sw",32.6472664236,-114.531079589
"AZ","026","PSR","Southwest Deserts","AZ026","m","wc",32.8182505245,-113.857880237
"AZ","027","PSR","Southwest Maricopa County","AZ027","m","sc",32.9115765376,-112.78250214
"AZ","028","PSR","Northwest and North Central Pinal County","AZ028","m","sc",33.0594991721,-111.702991578
"AZ","036","VEF","Lake Mead National Recreation Area","AZ036","m","nw",35.8011255183,-114.319422934
"AZ","037","FGZ","Yavapai County Valleys and Basins","AZ037","m","wc",34.4301653874,-112.512596966
"AZ","038","FGZ","Oak Creek and Sycamore Canyons","AZ038","m","wc",34.9116786517,-111.879631157
"AZ","039","FGZ","Black Mesa Area","AZ039","m","nc",36.355007054,-110.242960063
"AZ","040","FGZ","Northeast Plateaus and Mesas South of Hwy 264","AZ040","m","nc",35.4888958089,-110.182529904
"AZ","501","TWC","Western Pima County Including Ajo/Organ Pipe Cactus National Monument","AZ501","m","sc",32.2166830889,-112.976596672
"AZ","502","TWC","Tohono O'odham Nation including Sells","AZ502","m","sc",32.1433885301,-112.064015333
"AZ","503","TWC","Upper Santa Cruz River and Altar Valleys including Nogales","AZ503","m","se",31.6206671428,-111.16301903
"AZ","504","TWC","Tucson Metro Area including Tucson/Green Valley/Marana/Vail","AZ504","m","sc",32.1761053917,-111.056477033
"AZ","505","TWC","South Central Pinal County including Eloy/Picacho Peak State Park","AZ505","m","sc",32.7451958062,-111.339298011
"AZ","506","TWC","Southeast Pinal County including Kearny/Mammoth/Oracle","AZ506","m","sc",32.8254967597,-110.751834145
"AZ","507","TWC","Upper San Pedro River Valley including Sierra Vista/Benson","AZ507","m","se",31.9330686469,-110.307272954
"AZ","508","TWC","Eastern Cochise County Below 5000 Feet including Douglas/Willcox","AZ508","m","se",31.9146663032,-109.545177102
"AZ","509","TWC","Upper Gila River and Aravaipa Valleys including Clifton/Safford","AZ509","m","se",32.8686305389,-109.744318938
"AZ","510","TWC","White Mountains of Graham and Greenlee Counties including Hannagan Meadow","AZ510","m","se",33.3867480796,-109.488105991
"AZ","511","TWC","Galiuro and Pinaleno Mountains including Mount Graham","AZ511","m","sc",32.6525236921,-110.115287684
"AZ","512","TWC","Chiricahua Mountains including Chiricahua National Monument","AZ512","m","se",31.8616311649,-109.356020636
"AZ","513","TWC","Dragoon/Mule/Huachuca and Santa Rita Mountains including Bisbee/Canelo Hills/Madera Canyon","AZ513","m","se",31.6043049485,-110.383329547
"AZ","514","TWC","Santa Catalina and Rincon Mountains including Mount Lemmon/Summerhaven","AZ514","m","sc",32.3364181977,-110.680776974
